Time(s),S21(MAG),S21(DEG)
6436.8,1.003901,-0.78262234
6445.44,1.0041862,-0.6712718
6454.08,1.0013067,-0.60833961
6462.72,1.003684,-0.44384471
6471.36,1.0049778,-0.47212547
6480,1.00432,-0.47747073
6488.64,1.0071125,-0.50839049
6497.28,1.0068884,-0.53651547
6505.92,1.0049411,-0.45648101
6514.56,1.0038817,-0.54482096
6523.2,1.0034196,-0.47944322
6531.84,1.0014681,-0.54228818
6540.48,1.0038198,-0.52016884
6549.12,1.0018889,-0.45157242
6557.76,1.0015402,-0.4133938
6566.4,1.0037733,-0.50064886
6575.04,1.0055974,-0.44405511
6583.68,1.006586,-0.24138075
6592.32,1.0050228,-0.32836252
6600.96,1.0034794,-0.32638559
6609.6,1.0058421,-0.42506143
6618.24,1.0067854,-0.36635244
6626.88,1.0051477,-0.27495971
6635.52,1.0063732,-0.40160179
6644.16,1.0059633,-0.30163273
6652.8,1.0052483,-0.29817823
6661.44,1.0018796,-0.45649937
6670.08,1.0042486,-0.4984768
6678.72,1.003106,-0.5509395
6687.36,1.0029088,-0.53027564
6696,1.0019039,-0.54247844
6704.64,1.0038311,-0.45567411
6713.28,1.0046669,-0.76595294
6721.92,1.0034055,-0.6281594
6730.56,1.0039285,-0.60180026
6739.2,1.004598,-0.82249606
6747.84,1.0017409,-0.56493473
6756.48,1.0068794,-0.56018311
6765.12,1.0062877,-0.5594961
6773.76,1.0074819,-0.54535949
