Time(s),S21(MAG),S21(DEG)
2314.8,0.99495345,-18.365585
2318.4,0.99691623,-18.473848
2322,0.99732065,-18.516972
2325.6,0.99975288,-18.583229
2329.2,0.99872965,-18.482058
2332.8,0.99839884,-18.544386
2336.4,0.99869102,-18.51936
2340,0.99899226,-18.487486
2343.6,0.99880153,-18.400499
2347.2,0.99929303,-18.497824
2350.8,0.9997794,-18.532104
2354.4,0.9977836,-18.511765
2358,0.99844396,-18.523033
2361.6,0.99986005,-18.613003
2365.2,0.99912781,-18.560968
2368.8,0.99825007,-18.551767
2372.4,0.99967766,-18.609278
2376,0.99792749,-18.575182
2379.6,0.99833196,-18.605251
2383.2,0.99907166,-18.566683
2386.8,1.0003318,-18.612452
2390.4,0.99893081,-18.712784
2394,0.9999401,-18.626801
2397.6,0.99813235,-18.589396
2401.2,0.99929899,-18.706062
2404.8,0.99805689,-18.723213
2408.4,0.99865758,-18.790554
2412,0.99969804,-18.670755
2415.6,0.99804842,-18.65312
2419.2,0.9998253,-18.761168
2422.8,0.99977815,-18.774635
2426.4,0.99747807,-18.75074
2430,0.99770367,-18.711449
2433.6,0.99861109,-18.829437
2437.2,0.99793422,-18.693342
2440.8,1.0010315,-18.798613
2444.4,0.99939317,-18.725657
2448,0.99834383,-18.815596
2451.6,0.99884415,-18.850576
2455.2,0.99605489,-18.708929
2458.8,0.99753803,-18.821127
2462.4,0.99663979,-18.974007
2466,0.99801427,-18.781502
2469.6,0.99921101,-18.738153
2473.2,1.0010772,-18.863611
2476.8,0.99911773,-18.912251
2480.4,0.99793065,-18.937996
2484,0.99823952,-18.814325
2487.6,0.99719936,-18.960556
2491.2,0.99843866,-18.917688
2494.8,0.99690664,-19.054544
2498.4,0.99838722,-18.951174
2502,0.99695718,-19.075636
2505.6,0.99674237,-19.015724
2509.2,1.0006392,-19.096556
2512.8,0.9989866,-19.018322
2516.4,0.99794376,-19.062696
2520,0.9989168,-19.206615
2523.6,0.99763596,-18.974459
2527.2,0.99599475,-19.027231
2530.8,1.0006824,-19.135639
2534.4,0.99839985,-19.203968
2538,1.0001353,-19.214624
2541.6,0.99875641,-19.103745
2545.2,0.99896657,-19.252031
2548.8,0.99991065,-19.217478
2552.4,0.99650919,-19.315346
2556,0.99850303,-19.339384
2559.6,0.99652815,-19.340677
2563.2,0.99753487,-19.332056
2566.8,0.99994862,-19.41408
2570.4,0.99891448,-19.412222
2574,0.99585027,-19.347582
2577.6,0.99655068,-19.483625
2581.2,0.99979162,-19.47752
2584.8,1.0000886,-19.434151
2588.4,0.99901813,-19.432257
2592,0.9998827,-19.525484
2595.6,0.99798751,-19.461025
2599.2,0.99725544,-19.547554
2602.8,0.99764842,-19.639675
2606.4,0.99889499,-19.458075
2610,0.99880141,-19.366985
2613.6,0.99892139,-19.506657
2617.2,0.99706811,-19.676613
2620.8,0.99554306,-19.551441
2624.4,0.99841893,-19.578327
2628,0.9982366,-19.541859
2631.6,0.9976508,-19.47006
2635.2,0.9970451,-19.62332
2638.8,0.9970054,-19.693474
2642.4,0.99985898,-19.540091
2646,1.0009146,-19.644962
2649.6,0.99633378,-19.639145
2653.2,0.99721706,-19.609501
2656.8,0.99703747,-19.712641
2660.4,0.99969,-19.594275
2664,0.99871957,-19.621471
2667.6,0.99923021,-19.682899
2671.2,0.99674726,-19.692394
2674.8,1.0003403,-19.76025
2678.4,0.99823266,-19.772078
2682,0.99830079,-19.810835
2685.6,0.99694079,-19.768122
2689.2,1.0002102,-19.971306
2692.8,1.0003448,-19.950096
2696.4,0.99908614,-19.963198
2700,0.99958777,-19.948446
2703.6,0.99779296,-19.988188
2707.2,0.99822325,-19.924547
2710.8,1.0002459,-19.922541
2714.4,0.99683821,-20.065752
2718,1.0008055,-20.095825
2721.6,0.99963057,-20.04594
2725.2,0.99784249,-20.114449
2728.8,0.99652332,-20.278545
2732.4,0.99960959,-20.402164
2736,0.99929082,-20.192467
2739.6,0.99732685,-20.129217
2743.2,0.99762875,-20.357626
2746.8,0.999394,-20.35099
2750.4,0.99860358,-20.260622
2754,0.99857217,-20.301159
2757.6,0.99816072,-20.322836
2761.2,0.99841565,-20.307369
2764.8,0.99754167,-20.257881
2768.4,0.99744576,-20.386232
2772,0.99639243,-20.418026
2775.6,0.99755663,-20.384121
2779.2,0.99755156,-20.283995
2782.8,0.99876446,-20.317375
2786.4,0.99914443,-20.253195
2790,1.0008101,-20.275728
2793.6,0.99919087,-20.405647
2797.2,0.99792862,-20.227589
2800.8,0.99594986,-20.246651
2804.4,0.99812919,-20.32847
2808,0.99599725,-20.178686
2811.6,0.99944836,-20.364717
2815.2,0.99601692,-20.256023
2818.8,0.99780071,-20.281204
2822.4,0.99688852,-20.303402
2826,0.99699175,-20.232786
2829.6,0.99855131,-20.306223
2833.2,0.99969232,-20.317951
2836.8,0.9976356,-20.328777
2840.4,0.99910015,-20.421556
2844,0.99794704,-20.427999
2847.6,0.99892586,-20.406639
2851.2,0.99936664,-20.465811
2854.8,0.99812347,-20.518658
2858.4,0.99872452,-20.359699
2862,0.99680161,-20.468023
2865.6,0.99480367,-20.350145
2869.2,0.99897718,-20.344816
2872.8,0.99641603,-20.587818
2876.4,0.99839395,-20.433294
2880,0.99654317,-20.401251
2883.6,0.99817401,-20.444433
2887.2,0.99743241,-20.451168
2890.8,0.99754965,-20.420536
2894.4,0.99799681,-20.416811
2898,0.99923617,-20.450012
2901.6,0.99725509,-20.433029
2905.2,0.99693841,-20.396475
2908.8,0.99954981,-20.492386
2912.4,0.99705845,-20.460728
2916,0.99717879,-20.43083
2919.6,0.99765635,-20.280464
2923.2,0.99656755,-20.48793
2926.8,0.99683821,-20.491253
2930.4,0.99670953,-20.460546
2934,0.99940628,-20.589594
2937.6,0.99652296,-20.412554
2941.2,0.99931151,-20.432354
2944.8,0.9991892,-20.424383
2948.4,0.9996751,-20.51478
2952,0.99693942,-20.426682
2955.6,0.99843103,-20.387264
2959.2,0.99847513,-20.306797
2962.8,0.9967199,-20.454372
2966.4,0.99748945,-20.436544
2970,0.99796343,-20.476555
2973.6,0.99623507,-20.557484
2977.2,0.99654388,-20.442335
2980.8,0.99664664,-20.592768
2984.4,0.99818975,-20.54954
2988,0.9982903,-20.656013
2991.6,0.99623293,-20.49823
2995.2,0.99909478,-20.550961
2998.8,0.99831676,-20.566341
3002.4,0.99753028,-20.669979
3006,0.99836999,-20.554819
3009.6,0.99644369,-20.678186
3013.2,0.99666393,-20.70158
3016.8,0.99742615,-20.660765
